salesdate,kind,sales,Adjusted
10-1-2015,Retail sales and food services excl motor vehicle and parts and gasoline stations,317314,N
11-1-2015,Retail sales and food services excl motor vehicle and parts and gasoline stations,327335,N
12-1-2015,Retail sales and food services excl motor vehicle and parts and gasoline stations,390949,N
1-1-2015,"Retail sales, total",350466,N
2-1-2015,"Retail sales, total",342030,N
3-1-2015,"Retail sales, total",393318,N
4-1-2015,"Retail sales, total",387581,N
5-1-2015,"Retail sales, total",409703,N
6-1-2015,"Retail sales, total",398034,N
7-1-2015,"Retail sales, total",406760,N
8-1-2015,"Retail sales, total",405111,N
9-1-2015,"Retail sales, total",382135,N
10-1-2015,"Retail sales, total",392721,N
11-1-2015,"Retail sales, total",396150,N
12-1-2015,"Retail sales, total",464110,N
